Title,ingredients
Rum Cake with Rum Raisin Ice Cream and Island Fruit,"all purpose flour, baking powder, butter, room temperature, sugar, salt, eggs, water, vanilla extract, golden brown sugar, heavy whipping cream, butter, cut into -inch cubes, dark rum, dark corn syrup, allspice, nutmeg, Rum raisin ice cream, tropical fruit, Toasted pecans"
Guava and Manchego Phyllo Pouches with Passion Fruit Syrup,"- to -inch cubes guava paste*, - to -inch cubes Manchego cheese, almonds, toasted, vanilla extract, sugar, cinnamon, cayenne pepper, x -inch sheets phyllo pastry or frozen, thawed, butter, Passion Fruit Syrup"
Key Lime Cheesecake with Tropical Dried-Fruit Chutney,"all purpose flour, sweetened flaked coconut, sugar, butter, - cream cheese, room temperature, sour cream, sugar, eggs, Key lime juice, finely grated Key lime peel, vanilla extract, Tropical -Fruit Chutney"
Red Beans and Rice,"bacon, onion, red bell pepper, garlic, long-grain white rice, bay, tomato paste, cumin, hot Spanish smoked paprika, salt, water, - to - kidney beans, rinsed, drained"
Jamaican Coffee Brownies with Pecans,"Nonstick vegetable oil spray, sugar, butter, unsweetened cocoa powder, finely Jamaican Blue Mountain coffee beans, salt, eggs, vanilla extract, all purpose flour, pecan, bittersweet or semisweet chocolate chips, freshly brewed Jamaican Blue Mountain coffee, thin strips crystallized ginger"
Sauteed Chayote with Garlic and Herbs,"butter, chayote squash, peeled, halved lengthwise, pitted, thinly, parsley, divided, garlic, green onions, thinly"
Chocolate Natillas with Coffee-Bean Granita,"bittersweet or semisweet chocolate, milk, divided, vanilla bean, split lengthwise, egg yolks, cornstarch, - sweetened condensed milk, vanilla extract, Coffee-Bean Granita"
Coconut Ginger Candy Drops,"Nonstick vegetable oil spray, -inch cubes peeled coconut, golden brown sugar, water, grated peeled ginger, allspice, water"
Joe's Mustard Sauce,"Colman's dry mustard, or more to taste, mayonnaise, Worcestershire, A- sauce, light cream, salt"
Old Fashioned,"scant simple syrup, dashes Angostura Bitters, plus more to taste, half dollar–sized orange peel, including pith, good-quality rye or bourbon, maraschino cherry"
"Ginger, Gin, and Juice","chilled ginger beer, gin, orange juice, lemon juice, Grand Marnier or other orange-flavored liqueur, Garnish: an orange"
Easterner,"grapefruit juice, rye whiskey, pure maple syrup, grenadine, a cocktail shaker with cocktail strainer"
Aquavit Bloody Marys,"aquavit, chilled, quart tomato or tomato-vegetable juice such as V, chilled, lemon juice, Worcestershire sauce, drained bottled horseradish, hot sauce such as Tabasco, black pepper, Garnish: lemon ; celery ribs"
Bitter Crush,"ice, Aperol, white rum, lemon juice, dashes orange bitters, to sugar, Garnish: lemon twist"
Rustic Apple Tarts with Calvados Whipped Cream,"plus sugar, apple cider or apple juice, cider vinegar, Gala apples, frozen puff pastry sheet, thawed, butter, Calvados, chilled heavy cream, sugar, Calvados, an adjustable-blade slicer"
Pear Küchen,"warm milk plus sugar, active dry yeast, all-purpose flour, plus additional for dusting, egg, egg yolk, vanilla, salt, butter, cut into and softened, firm-ripe Bosc pears, butter, packed dark brown sugar, plain fine dry bread crumbs, hazelnuts, toasted and, cinnamon, A stand mixer fitted with paddle attachment; a - to -inch springform pan"
Yogurt and Brown-Sugar Panna Cotta With Grape Gelée,"unflavored gelatin, all natural Concord grape juice, lemon juice, red and green seedless grapes, thinly crosswise, grappa, Vegetable oil for greasing ramekins, unflavored gelatin, heavy cream, packed dark brown sugar, low-fat plain yogurt, grappa, salt, ramekins"
Pomegranate Gelato,"heavy cream, milk, sugar, cornstarch, salt, bottled pomegranate juice, pomegranate liqueur such as PAMA, lemon juice, Garnish: pomegranate seeds, an ice cream maker"
Romaine- and Egg-Stuffed Tomatoes with Pancetta,"pancetta, plus extra-virgin olive oil, head romaine, garlic, loosely packed flat- parsley, salt, black pepper, finely grated Parmigiano-Reggiano, plus additional for serving, tomatoes, eggs at room temperature"
Succotash,"bacon, cut crosswise into -inch-wide strips, butter, corn kernels, lima beans in pods, shelled, or, frozen baby lima beans, thawed, green bell pepper, bunch scallions, cut crosswise into -inch, keeping white and pale green parts separate from greens, heavy cream, water, salt, black pepper"
Mexican Street Corn (Elote),"Mexican crema or mayonnaise, queso cotija, or feta, crumbled, Cayenne to taste, Accompaniment: lime wedges"
Pickled Vegetables,"distilled white vinegar, water, sugar, kosher salt, yellow mustard seeds, hot red-pepper flakes, head cauliflower, trimmed and broken into - to -inch florets, red bell pepper, cut into -inch, yellow bell pepper, cut into -inch, carrots, cut diagonally into -inch-thick, celery ribs, cut into -inch-thick, drained bottled peperoncini, brine-cured green olives, oil-cured black olives"
Roasted Tomatoes,"Olive oil for greasing pan plus additional for drizzling, plum tomatoes, halved lengthwise, salt, black pepper"
Corn and Tomato Gratin,"red or yellow tomatoes, cut crosswise nto -inch-thick, salt, black pepper, corn kernels, milk, heavy cream, bread crumbs, basil, finely grated parmesan, butter, cut into, plus additional for buttering pan"
Sumac Skirt Steak with Pomegranate Reduction,"bottled pomegranate juice, sugar, salt, sumac, black pepper, skirt steak, butter, finely shallot, ruby or tawny Port, lemon juice"
"Beef, Mushroom, and Barley Soup","mushrooms, boiling-hot water plus cold water, cross-cut beef short ribs or flanken, salt, black pepper, onion, carrots, cut into -inch dice, celery ribs, cut into -inch dice, cremini mushrooms, trimmed and quartered, vegetable oil, pearl barley, dill"
Cheese and Chile Quiche,"pastry dough, garlic, salt, poblano chiles, roasted and peeled, eggs, milk, Mexican crema or heavy cream, finely grated white onion, black pepper, Monterey Jack cheese, coarsely grated, a -inch round fluted tart pan with removable bottom; pie weights or raw rice, pie weights or raw rice"
Sauteed Pork Chops with Sweet-and-Sour Red Cabbage,"bacon, to vegetable oil, onion, red cabbage, halved lengthwise, cored, and inch thick, red-wine vinegar, water, sugar, caraway seeds, salt, black pepper, bone-in rib pork chops, an instant-read thermometer"
Pasta with Confit Duck and Savoy Cabbage,"vegetable oil, confit duck legs, onions, halved lengthwise, then, salt, Savoy cabbage, cored and cut into -inch, dry white wine, reduced-sodium chicken broth, campanelle or garganelli, butter, flat- parsley, black pepper"
Grilled Lemongrass Lamb Chops with Herbs,"cumin seeds, toasted and cooled, lemongrass stalks, root ends trimmed and or tough outer discarded from each, shallots, garlic, peeled ginger, sugar, salt, turmeric, cayenne, water, plus vegetable oil, loin lamb chops, end flaps secured with wooden picks, finely grated lime zest, lime juice, basil, mint, cilantro"
Stuffed Poblano Chiles with Walnut Sauce and Pomegranate Seeds,"boneless pork shoulder, cut into -inch, salt, crosswise white onion, garlic, peeled, thyme, finely white onion, finely garlic, olive oil, lard or vegetable oil, tomatoes, cored and coarsely, or tomatoes, coarsely, with juice, thyme, Turkish bay or California, cinnamon, allspice, freshly grated nutmeg, cider vinegar, or to taste, sugar, or to taste, salt, or to taste, peach, apricots, coarsely, raisins, pine nuts, peeled green apple, peeled very ripe plantain or firm banana, walnut halves, slivered almonds plus additional if necessary to thicken sauce, milk plus additional if necessary to thin sauce, queso fresco or very mild soft goat cheese, crumbled, sugar, or to taste, salt, or to taste, poblano chiles, roasted and peeled, pomegranate seeds"
Baked Chicken and Bacon-Wrapped Lady Apples,"thin bacon, lady apples, salt, black pepper, unfiltered apple cider, cider vinegar, marjoram plus marjoram, or to taste, cold butter"
"Pear, Arugula, and Pancetta Salad","Champagne vinegar, mild honey, lemon juice, salt, coarsely black pepper, olive oil, thinly pancetta, olive oil, firm-ripe pears, baby arugula or torn larger arugula, ricotta salata, thinly shaved with a vegetable peeler"
Gorgonzola and Grape Pizza,"active dry yeast, unbleached all-purpose flour, warm water, salt, olive oil, Vin Santo, sugar, red seedless grapes, halved lengthwise, Italian Fontina, rind discarded and cheese cut into -inch dice, Gorgonzola dolce, crumbled, coarsely black pepper, a pizza stone; parchment paper"
Wild-Mushroom Pasta,"morel or porcini mushrooms, boiling-hot water, butter, cremini mushrooms, trimmed and inch thick, mixed wild mushrooms, such as oyster, chanterelle, or porcini, trimmed and lengthwise inch thick, garlic, salt, black pepper, egg fettuccine, chives, flat- parsley, finely grated lemon zest, lemon juice, Accompaniment: grated Parmigiano-Reggiano"
Crisp Eggplant Chips,"confectioners sugar, cornstarch, panko, salt, thin Asian eggplant, trimmed, About vegetable oil, an adjustable-blade slicer; a deep-fat thermometer; a sieve"
Roasted-Garlic Herb Dip,"heads garlic, extra-virgin olive oil, thyme, rosemary, salt, black pepper"
Caponata,"Italian eggplants, kosher salt or fine sea salt, extra-virgin olive oil, onion, celery ribs, cut crosswise into very thin, green Sicilian olives, pitted and coarsely, Italian capers packed in salt, rinsed well, sugar, or to taste, white-wine vinegar, tomatoes in juice, drained and"
Stewed-Tomato Bruschetta,"extra-virgin olive oil, garlic, thinly lengthwise, Turkish bay or California, celery rib, finely, onion, finely, Italian frying pepper, finely, curry powder, salt, black pepper, tomatoes, cored and cut into -inch-wide wedges, to packed dark brown sugar, sourdough, a well-seasoned ridged grill pan"
Hollywood Thai Beef Salad,"low-sodium soy sauce, honey, fish sauce, orange juice, cilantro, mint, lime juice, Thai chile, garlic, ginger, peeled and, flank steak, Asian vermicelli noodles, tomato, enoki mushrooms, thinly red onion, grapefruit segments, cilantro, mint, lime juice, soy sauce, orange juice, dark sesame oil, fish sauce, Thai chile, seeded and, garlic, -inch ginger, peeled and"
Hearts of Palm Salad with Ruby Red Grapefruit and Dungeness Crab,"hearts palm, cut into -inch, bunch organic watercress, precooked Dungeness crabmeat, coarsely cilantro, julienned basil, julienned mint, kosher salt, freshly white pepper, ruby red grapefruit, peel and pith removed, segmented, segments cut into each, extra-virgin olive oil, lemon juice, honey, kosher salt, freshly white pepper"
Grilled Vegetable Salad with Tofu,"zucchini, halved lengthwise, ear corn, husked, bunch asparagus, ends trimmed, - firm tofu, cut into -inch, scallions, Olive oil cooking spray, mixed greens, romaine heart, avocado, cut into bite-size chunks, vine-ripened tomato, cut into bite-size chunks, Dijon mustard, lemon juice, lime juice, white wine vinegar, extra-virgin olive oil"
"Tuna, Fennel, Avocado, and Tangerine Salad with Citrus Vinaigrette","sushi-grade tuna, olive oil, head frisée, separated, fennel bulb, stemmed and, blood oranges, peel, pith and seeds removed, cut crosswise into -inch, seedless tangerines, peel and pith removed, cut crosswise into -inch, avocado, cut into -inch, extra-virgin olive oil, lemon juice, blood orange juice, tangerine juice, Champagne vinegar, shallot, lemon zest, tangerine zest, sea salt, freshly black pepper"
Apple Phyllo Strudel,"green apples, peeled, cored, and, cried cranberries or cherries, packed brown sugar, cinnamon, sheets phyllo dough, butter-flavored nonstick cooking spray, or a mixture butter and almond oil, amaretti crumbs or graham cracker crumbs, nonfat vanilla yogurt or frozen vanilla yogurt, mint, raspberries, cinnamon cream"
Burgers with Mozzarella and Spinach-Arugula Pesto,"baby spinach, garlic, peeled, finely grated lemon peel, red pepper, arugula, divided, pine nuts, lemon juice, extra-virgin olive oil, freshly grated Parmesan cheese, beef, salt, black pepper, hamburger buns, split horizontally, -inch-thick mozzarella cheese, beefsteak tomatoes, cut into -inch-thick rounds"
Black-Bottom Peanut Butter Mousse Pie,"Nonstick vegetable oil spray, graham crackers, coarsely broken, butter, sugar, divided, bittersweet or semisweet chocolate chips, plus chilled whipping cream, divided, light corn syrup, vanilla extract, divided, peanut butter chips, creamy peanut butter"
"Almond, Apricot, and Cream Cheese Crostata","log almond paste, sugar, divided, cream cheese, cut into -inch cubes, egg yolk, vanilla extract, refrigerated pie crust, room temperature, to apricots, quartered, pitted, apricot jam, heated, amaretti cookies"
Tea Granita With Rose Water and Baklava,"bottled water, sugar, rose water*, tea bags, half and half, Organic rose petals, Purchased baklava"
"Fettuccine with Walnuts, Zucchini Ribbons, and Pecorino Romano","zucchini, untrimmed, fleur de sel or coarse kosher salt, garlic, pressed, anchovy fillets, red pepper, fettuccine, extra-virgin olive oil plus additional for serving, walnuts, toasted, coarsely, freshly grated Pecorino Romano cheese, divided, thinly basil, mint, zucchini flowers, thinly"
Summer's Best Blueberry Sauce,"water, sugar, lemon juice, cornstarch, blueberries, red currant jelly"
Peach and Mascarpone Cheesecake with Balsamic Syrup,"graham crackers, broken into, sugar, butter, mascarpone cheese, sugar, all purpose flour, eggs, vanilla extract, peaches, peeled, pitted, balsamic vinegar, peaches"
Roasted-Garlic Oil,"garlic, peeled, halved, olive oil, extra-virgin olive oil"
"Pancetta, Mizuna, and Tomato Sandwiches with Green Garlic Aïoli","extra-virgin olive oil, green garlic or regular garlic, blanched, fleur de sel or coarse kosher salt, mayonnaise, divided, lemon juice, thinly pancetta, brioche or egg bread, lightly toasted, bunch mizuna or arugula, torn into -inch, beefsteak tomatoes, cut into -inch-thick rounds"
Sauteed Chicken Breasts with Country Ham and Summer Succotash,"extra-virgin olive oil, divided, onion, red bell pepper, cut into -inch dice, thyme, divided, garlic, haricots verts or slender green beans, trimmed, cut into -inch, zucchini, trimmed, cut into -inch dice, corn kernels, skinless boneless chicken breast halves, thin country ham or prosciutto, all purpose flour, whipping cream"
Grilled Spicy-Citrus Chicken Thighs with Corn and Green Onions,"lime juice, orange juice, olive oil, cilantro, garlic, thinly, hot pepper sauce, red pepper, chicken thighs with skin and bones, green onions, ears corn, husked"
Grilled Steak and Onions with Rosemary-Balsamic Butter Sauce,"chilled butter, divided, shallot, balsamic vinegar, rosemary, mixed sweet onions, shallots, baby leeks, and green onions, olive oil, New York strip steaks, orange juice"
Grilled Leg of Lamb with Curly Endive and Romaine,"dry red wine, balsamic vinegar, olive oil, mint, garlic, pressed, rosemary, oregano, salt, black pepper, - leg lamb, butterflied, Nonstick vegetable oil spray, heads curly endive, quartered lengthwise through core with some core left intact, hearts romaine, halved lengthwise through core with some core left intact"
Steamed Lobster with Lemon-Herb Butter,"- to - live lobsters, butter, lemon juice, Italian parsley, chives, basil, Lemon wedges"
"Sauted Scallops with Cherry Tomatoes, Green Onions, and Parsley","sea scallops, side muscles removed, Fleur de sel or coarse kosher salt, extra-virgin olive oil, divided, green onions, white and green parts separated, - container cherry tomatoes or grape tomatoes, coarsely Italian parsley, divided, lemon juice, mild Spanish paprika * or Hungarian sweet paprika, *Available at specialty foods stores and online from tienda com"
"Mint-Marinated Shrimp with Tabbouleh, Tomatoes, and Feta","or coarsely cracked bulgur*, water, plus lemon juice, plus olive oil, mint, divided, coarse kosher salt, divided, cooked peeled deveined shrimp with tails intact, plum tomatoes, seeded, coarsely, finely arugula, crumbled feta cheese, green onions, garlic"
"Grilled Halibut, Eggplant, and Baby Bok Choy with Korean Barbecue Sauce","olive oil or vegetable oil, divided, garlic, serrano chile with seeds, soy sauce, dark brown sugar, unseasoned rice vinegar, water, Asian sesame oil, baby bok choy, halved lengthwise, -size Japanese eggplants, trimmed, halved lengthwise, - to - halibut fillets, green onions, thinly"
Tomato-Watermelon Salad with Feta and Toasted Almonds,"-inch chunks seedless watermelon, ripe tomatoes in assorted colors, cored, cut into -inch chunks, fleur de sel or coarse kosher salt, extra-virgin olive oil, divided, red wine vinegar, assorted herbs, arugula or watercress, crumbled feta cheese, almonds, lightly toasted"
Grilled Shrimp Salad with Corn and Avocado,"orange juice, white wine vinegar, chives, finely grated orange peel, olive oil, truffle oil*, - bag red pearl onions, Metal skewers, uncooked shrimp, peeled, deveined, ears corn, husked, ciabatta bread or pain rustique, cut crosswise into -inch-thick, Olive oil, hot smoked paprika **, mâche, avocados, halved, pitted, peeled, cut into -inch cubes"
"Asian Noodle Salad with Eggplant, Sugar Snap Peas, and Lime Dressing","Japanese eggplants, unpeeled, cut on diagonal into -inch-thick, shiitake mushrooms, stemmed, bunches green onions, trimmed, Asian sesame oil, - chuka soba noodles, - sugar snap peas, trimmed, hoisin sauce, lime juice, finely grated lime peel, peeled ginger"
Corn and Crab Soup with Crispy Tortilla Strips,"corn kernels, divided, corn cobs reserved, low-salt chicken broth, water, bunch cilantro, stems cut off and reserved, salt, butter or olive oil, onion, garlic, seeded jalapeño chile, ancho chile powder or regular chili powder, finely grated lime peel, lump crabmeat, picked over, lime juice, Crispy Tortilla Strips"
Cheesy Zucchini and Red Onion Flatbread,"Nonstick vegetable oil spray, - tube refrigerated pizza dough, garlic-and-herb cheese spread, divided, finely grated Parmesan cheese, divided, Italian parsley, divided, red onion, - to -inch-long zucchini, cut crosswise into -inch-thick rounds, divided, Olive oil"
Classic Daiquiri,"light rum, plus one lime juice, simple syrup"
Avocado Daiquiri,"light rum, gold rum, lemon juice, lime juice, simple syrup, -ripe avocado, peeled and pitted, half-and-half, ice"
Macadamia Ice Cream and Mango Sorbet Swirl Pie,"Nonstick vegetable oil spray, purchased ice cream sugar cones, coarsely broken, sugar, divided, butter, pint macadamia brittle ice cream, slightly softened, pint mango sorbet, slightly softened, chilled whipping cream, vanilla extract, Shredded coconut, toasted"
Chocolate Meringue and Mint Chip Ice Cream Cake,"sugar, divided, powdered sugar, unsweetened cocoa powder, egg whites, pints mint chip ice cream, slightly softened, chilled whipping cream, vanilla extract, chocolate sprinkles"
Streusel-Roasted Plums with Vanilla Ice Cream,"chilled butter, divided, golden brown sugar, divided, dry red wine, all purpose flour, sugar, salt, coarsely toasted hazelnuts, firm plums, halved, pitted, Vanilla ice cream"
Strawberry and Chocolate Baked Alaska,"bittersweet or semisweet chocolate, butter, unsweetened chocolate, sugar, divided, eggs, all purpose flour, unsweetened cocoa powder, baking powder, salt, pint strawberry ice cream, slightly softened, egg whites"
"Nectarine, Blackberry, and Pecan Sundaes","-pint containers blackberries, sugar, -inch cubes pitted nectarines, pecan, toasted, to pints vanilla ice cream"
Almond Florentine and Black Raspberry Chip Ice Cream Sandwiches,"butter, sugar, heavy whipping cream, plus all purpose flour, almonds, pint black raspberry chip ice cream or other raspberry-flavored ice cream"
Summer Camp Slushy,"Campari, shaved ice"
Creamsicle Crush,"thawed orange juice concentrate, Grand Marnier, vanilla vodka, shaved ice"
Berry Nice Ice,"vodka, cassis, frozen blueberries, shaved ice"
Fresh Figs with Goat Cheese and Peppered Honey,"honey, freshly black pepper, figs, soft goat cheese"
Smoked-Trout Spread,"smoked trout fillets, skin discarded and any silver skin scraped off, butter, softened, finely shallot, finely dill, lemon juice, hot sauce such as Tabasco, black pepper, cold water, Accompaniment: -grain crackers"
Potato and Boursin Frittata,"eggs, salt, black pepper, olive oil, frozen shredded hash brown potatoes, bunch scallions, Boursin garlic-herb cheese, chilled, Accompaniment: smoked salmon or prosciutto"
Saucy Country-Style Oven Ribs,"boneless country-style pork ribs, onion, finely, garlic, vegetable oil, ketchup, honey, cider vinegar, Worcestershire sauce, lemon juice, plus dry mustard, drained bottled horseradish, black pepper"
Duck Terrine with Wine-Glazed Shallots,"milk, Moulard duck breasts*, kosher salt or table salt, black pepper, thyme or, crumbled, marjoram or, crumbled, allspice, ginger, Tawny Port, Cognac or other brandy, heavy cream, egg, lightly beaten, shelled pistachios, dry red wine, red-wine vinegar, sugar, kosher salt or table salt, thyme, Turkish or California bay, shallots, peeled and trimmed, thin sheets pork fatback, cut from about a - by -inch slab by butcher, or caul fat, a meat grinder with holes; a - to - terrine mold or loaf pan; an instant-read thermometer"
Sea Scallops with Mushrooms and Sherry,"sea scallops, tough ligament removed if attached, black pepper, salt, olive oil, butter, cremini mushrooms, quartered, finely shallots, garlic, finely, -dry Sherry, balsamic vinegar, soy sauce"
Rosemary Beef Fillet,"trimmed and tied center-cut beef tenderloin roast at room temperature, kosher salt, black pepper, garlic, finely, rosemary, extra-virgin olive oil, Accompaniment: coarse-grain or Dijon mustard"
Butternut Squash Polenta,"finely onion, butter, frozen butternut squash purée, thawed, water, milk, salt, black pepper, instant polenta, finely grated Parmigiano-Reggiano"
Pasta and Chicken Gratin,"chickens, cold water, celery rib, quartered, carrot, quartered, onion, quartered, garlic, smashed, thyme, salt, black peppercorns, butter plus additional for greasing gratin dishes, garlic, all-purpose flour, milk, crème fraîche, salt, black pepper, cayenne, Gruyère, coarsely grated, Parmigiano-Reggiano, finely grated with a rasp, penne rigate or other short tubular pasta, fine bread crumbs, shallow gratin dishes"
Banana Cake with Coconut Frosting,"butter, softened, plus additional for greasing pan, all-purpose flour plus additional for dusting pan, baking powder, baking soda, salt, packed light brown sugar, egg, well-mashed very ripe bananas, sour cream, vanilla, cream cheese, softened, butter, softened, confectioners sugar, well-stirred canned cream coconut such as Coco López, dark rum, sweetened flaked coconut"
Potato and Lardon Casserole,"yellow-fleshed potatoes such as Yukon Gold, slab bacon, any rind discarded, bacon cut lengthwise into -inch-thick, and then cut crosswise into -inch-thick strips, thyme, garlic, salt, black pepper, butter, cut into bits"
Beef Stroganoff,"olive oil, butter, onions, thinly, thinly button mushrooms, beef tenderloin, parsley, heavy cream"
Country Terrine,"finely onion, butter, garlic, finely, thyme or, crumbled, kosher salt or table salt, black peppercorns, allspice or allspice, freshly grated nutmeg, Turkish or California bay, heavy cream, eggs, Cognac or other brandy, chicken livers, trimmed, fatty pork shoulder or half lean pork and half pork fatback, fatty veal, baked ham, cut into -inch cubes, bacon, Accompaniments: cornichons; mustard; bread or crackers, an electric coffee/spice grinder; a - terrine mold or loaf pan; an instant-read thermometer"
Celery-Root and Apple Purée,"celery root, Gala, Empire, or McIntosh apples, butter, salt, heavy cream, white pepper, freshly grated nutmeg, Garnish: celery"
Crown Roast of Pork with Onion and Bread-Crumb Stuffing,"onions, finely, salt, butter, sage, marjoram, black pepper, cider vinegar, dry white wine, Pullman loaf, pain de mie, or country loaf, cut into -inch cubes, then pulsed to coarse crumbs in a food processor, pork, finely celery, finely sage, finely marjoram or thyme, salt, black pepper, crown roast pork, rib ends frenched, water, dry white wine, reduced-sodium chicken broth, cornstarch, dissolved in water, cold butter, an instant-read thermometer"
"Linguine with Tuna, Capers, and Raisins","linguine, extra-virgin olive oil, frozen onions such as Ore Ida brand, garlic, finely, salt, black pepper, tuna in olive oil, drained, drained bottled capers, golden raisins, flat- parsley"
Mussels with Tarragon Celery Vinaigrette,"mussels, scrubbed well and beards removed, dry white wine, hard-boiled eggs, white-wine vinegar, salt, black pepper, extra-virgin olive oil, finely celery, pickled cocktail onions, trimmed and finely, tarragon, Garnish: seaweed*"
Beurre Blanc,"dry white wine, white-wine vinegar, finely shallot, heavy cream, salt, white pepper, or to taste, butter, cut into -size and chilled"
Better-Than-Pita Grill Bread,"all-purpose flour plus additional for dusting, sugar, salt, fast-acting yeast from such as Fleischmann's Rapid Rise yeast, plus warm water, canola or vegetable oil, beaten egg, a lightly oiled ridged grill pan, cast-iron skillet, or griddle"
Cranberry Horseradish Sauce,"bag or frozen cranberries, jar prepared horseradish, including juice, or firmly packed finely grated peeled horseradish, sugar, water"
Sweet Blini,"active dry yeast, plus sugar, warm water, all-purpose flour, salt, warm milk, eggs, butter, and cooled, fine-quality apricot preserves, lemon juice, Confectioners sugar for dusting"
Bitter Green Salad with Roasted Pears,"firm-ripe Bosc pears, peeled, cored, and each cut lengthwise into wedges, extra-virgin olive oil, head chicory, head escarole, head radicchio, bunch watercress, coarse stems discarded, bunch mizuna, coarse stems discarded, head romaine, finely shallot, cider vinegar, honey, salt, black pepper, plus extra-virgin olive oil"
Lebanese Lamb and Bean Stew,"navy beans, picked over and rinsed, boneless lamb shoulder or boneless leg lamb, trimmed excess fat and cut into -inch cubes, plus baharat* or cinnamon, water, olive oil, onions, garlic, finely, salt, black pepper, tomato paste, Accompaniments: spiced basmati rice better-than-pita grill bread"
Braised Chicken with Apples and Sage,"chicken thighs with skin and bones, salt, black pepper, olive oil, butter, packed brown sugar, apples, peeled, cored, and cut into -inch-thick wedges, shallots, reduced-sodium chicken broth, cider vinegar, sage"
Frenched Green Beans,"green beans, stem ends trimmed, salt, black pepper, Sherry vinegar, olive oil, a green-bean frencher"
Duck Purloo,"boneless Moulard duck breast halves*, reduced-sodium chicken broth, bulk breakfast sausage, kielbasa, cut into -inch, black pepper, hot red pepper flakes, onions, yellow bell pepper, red bell pepper, shiitake mushrooms, stems discarded and caps inch thick, habanero or Scotch bonnet chile, salt, long-grain white rice, flat- parsley"
"Zucchini, Bacon, and Gruyère Quiche","refrigerated pie dough round, bacon, coarsely, zucchini, halved lengthwise, then cut crosswise into -inch-thick, salt, heavy cream, milk, black pepper, eggs, Gruyère, coarsely grated, a -inch deep-dish pie plate"
Classic Potato Pancakes,"onion, peeled, russet or Idaho potatoes, peeled, eggs, all-purpose flour, vegetable oil, butter, Applesauce and/or sour cream, for serving"
Raspberry-Blueberry Snow Cones,"raspberries, blueberries, sugar, water, lightly packed shaved ice, an ice shaver, preferably manual"
Mixed-Nut Shortbread,"butter, softened, plus sugar, vanilla, all-purpose flour, and roasted mixed cocktail nuts, coarsely"
Mini Lime Pies with Glazed Berries,"eggs, granulated sugar, lime juice, butter, cut into -inch cubes, finely grated lime zest, Pastry dough for a single-crust pie, superfine granulated sugar, confectioners sugar, water, lime juice, mixed raspberries, blackberries, and blueberries, baking sheets; parchment paper; a -inch round cookie cutter; a blowtorch"
Deep-Dish Wild Blueberry Pie,"packed light brown sugar, quick-cooking tapioca, wild blueberries or frozen, lemon juice, Pastry dough for a double-crust pie, butter, cut into, egg, beaten with water, a -inch deep-dish pie plate ; decorative cookie cutters"
Frozen Strawberry Margarita Pie,"graham cracker crumbs from crackers, sugar, butter, strawberries, halved, finely grated lime zest, lime juice, sweetened condensed milk, tequila, triple sec, Cointreau, or other orange-flavored liqueur, chilled heavy cream, Garnish: strawberries"
Plum Galette,"Pastry dough for a single-crust pie, semolina flour, granulated sugar, black or red plums, halved, pitted, and each cut lengthwise into wedges, confectioners sugar, crme frache or sour cream, Armagnac or Cognac, parchment paper"
Warm New Potato Salad with Grainy Mustard,"potatoes, preferably new potatoes, salt, finely shallots, Dijon mustard, -grain mustard, white-wine vinegar, or to taste, black pepper, olive oil, flat- parsley"
Aurelia's Breakfast Fruit Salad,"pineapple, cut lengthwise into wedges, cored, peeled, and cut crosswise into -inch-thick, firm-ripe mangoes, peeled, pitted, and cut into -inch chunks, orange juice, to cayenne, or to taste, crumbled queso aejado or queso fresco"
"Quinoa with Corn, Scallions, and Mint","ears corn, shucked, finely grated lemon zest, lemon juice, butter, mild honey, salt, black pepper, quinoa, scallions, mint"
Sauteed Broccoli Rabe and Peas.,"bunch broccoli rabe, frozen peas, extra-virgin olive oil, garlic, peeled and lightly smashed with side a knife, salt, black pepper"
Vegetable Kebabs,"white-wine vinegar, balsamic vinegar, garlic, sugar, salt, black pepper, olive oil, zucchini, cut crosswise into -inch-thick, olive oil, salt, black pepper, cherry tomatoes, baby eggplant, cut crosswise into -inch-thick, cremini mushrooms, trimmed, yellow bell peppers, cut into -inch, red onion, cut into -inch, metal or wooden skewers"
Sesame Tuna Burgers with Fried Shoestring Zucchini,"plus hulled sesame seeds, zucchini, well-chilled sushi-grade tuna steaks, soy sauce plus additional for serving, About vegetable oil, an electric coffee/spice grinder; an adjustable-blade slicer fitted with -inch julienne blade; a deep-fat thermometer"
"Skirt Steak with Haricots Verts, Corn, and Pesto","skirt steak, salt, black pepper, olive oil, ear corn, kernels cut off, haricots verts, trimmed, prepared basil pesto"
Southeast Asian Squid Salad,"lime juice, Asian fish sauce, to sugar, salt, to Thai or serrano chiles, finely, including seeds, vegetable oil, squid, rinsed inside and out, carrots, halved crosswise, seedless cucumber, halved crosswise, head Boston lettuce, torn into bite-size, loosely packed cilantro, loosely packed mint, scallions, thinly diagonally, coarsely dry-roasted peanuts, Accompaniment: lime wedges"
Grilled Poussins with Lemon Herb Butter,"butter, thyme, finely rosemary, loosely packed finely grated lemon zest, fine sea salt, black pepper, poussins or Cornish hens, lemon, cut lengthwise into wedges, thyme, Garnish: thyme and rosemary, kitchen string; a chimney starter ; an instant-read thermometer"
Jerk Pork Chops with Hearts of Palm Salad and Sweet Plantains,"hearts palm, drained, red onion, thinly, coarsely cilantro, lime juice, olive oil, salt, black pepper, box frozen ripe plantains, to Walkerswood Traditional Jamaican Jerk Seasoning, olive oil, thin boneless center-cut pork chops, a well-seasoned ridged grill pan"
